Satelitenumber,Datetime,X,Y,Z,azimuth,zenith
E02,2024-09-18 12:20:00,21336355.057610445,4875419.815404749,19936227.180693362,169.452148221764,25.606826039250112
E02,2024-09-18 12:20:00,21317405.258190926,4852147.764360115,19962142.659072466,169.53239938925077,25.517963095389373
E02,2024-09-18 12:20:00,21290880.274820443,4819478.84428787,19998308.38370863,169.64620407913517,25.393762981929534
E02,2024-09-18 12:20:00,21290880.2743444,4819478.842782431,19998308.384529363,169.6462040860355,25.393762978834975
E02,2024-09-18 12:40:00,24800137.28761711,8304035.487249699,13876870.62289989,163.65728441705483,43.68516484129892
E02,2024-09-18 12:40:00,24783590.891853347,8291240.48485475,13914016.509133656,163.65929809268994,43.58724144865811
E02,2024-09-18 12:40:00,24760379.027968835,8273235.137031773,13965939.927375294,163.66239234137046,43.45015870739505
E02,2024-09-18 12:40:00,24760379.02813814,8273235.138124248,13965939.926474486,163.66239233860264,43.45015871007039
E02,2024-09-18 12:50:00,25588356.99829894,8874621.065274777,11961152.59734244,163.73743133038923,48.583872901997054
E02,2024-09-18 12:50:00,25573405.496871136,8864523.223838465,12000536.02580972,163.73280389639805,48.485935100794386
E02,2024-09-18 12:50:00,25552413.570924416,8850297.567972396,12055603.114162683,163.7265051801979,48.34881451814636
E02,2024-09-18 12:50:00,25552413.570918042,8850297.568128979,12055603.114061328,163.72650517979045,48.34881451844328
E02,2024-09-18 13:00:00,26656194.54192941,9517223.131388696,8688332.518231835,164.38144572372593,56.39001286423439
E02,2024-09-18 13:00:00,26644557.318322834,9511131.409034794,8730581.679730497,164.37079763018602,56.292943329791676
E02,2024-09-18 13:00:00,26628186.58015618,9502524.018739663,8789679.781271271,164.35597353497826,56.15701887272441
E02,2024-09-18 13:00:00,26628186.580247235,9502524.020696295,8789679.77906423,164.35597353095366,56.15701887831279
E02,2024-09-18 13:10:00,27434497.963645123,9864421.863967871,5164683.735446629,165.36736812640254,64.22132819720395
E02,2024-09-18 13:10:00,27417082.633263398,9858296.343285317,5267803.071235516,165.3368405779364,63.99866719124059
E02,2024-09-18 13:10:00,27406486.749458496,9854519.870846488,5329627.221316296,165.318560655899,63.86500785913615
E02,2024-09-18 13:10:00,27406486.749515254,9854519.870052626,5329627.222371193,165.3185606574373,63.86500785665928
E02,2024-09-18 13:20:00,27838097.6479065,9958401.825967945,1583333.7964159416,166.42972254178244,71.76972735626343
E02,2024-09-18 13:20:00,27831853.42333634,9958552.672809275,1688667.4167515445,166.399015085361,71.55211829372827
E02,2024-09-18 13:20:00,27827942.336427305,9958568.771989075,1751852.4682179003,166.3805636852191,71.42147510873362
E02,2024-09-18 13:20:00,27827942.336146783,9958568.77314667,1751852.4666456254,166.38056368296427,71.42147511225205
E02,2024-09-18 13:30:00,27839305.76957957,9872654.50236382,-2033002.0474871383,167.42560372995933,79.12749502241613
E02,2024-09-18 13:30:00,27845244.451218355,9877030.720616177,-1927780.0505056689,167.3986712718225,78.91589748103215
E02,2024-09-18 13:30:00,27848632.628728166,9879612.358005444,-1864629.3090185076,167.3824356515706,78.78884893378118
E02,2024-09-18 13:30:00,27848632.6282439,9879612.359128904,-1864629.3109879747,167.3824356494299,78.78884893797797
E04,2024-09-18 13:00:00,-13835801.719371336,17355175.14858217,19582533.607436553,45.00240656341329,77.95083794429914
E04,2024-09-18 13:00:00,-13836091.341172434,17364990.81467812,19573624.556781564,45.02465154163782,77.96728912319759
E04,2024-09-18 13:00:00,-13837347.887192264,17406166.576569803,19536124.439040832,45.11794982145964,78.03656009540772
E04,2024-09-18 13:00:00,-13837347.88765995,17406166.575569127,19536124.43963415,45.117949818860616,78.03656009486853
E04,2024-09-18 13:10:00,-13856224.618536012,15307229.55351063,21208657.601079527,40.31957401988224,75.00904947895422
E04,2024-09-18 13:10:00,-13854712.751620397,15339087.683378583,21186614.039397165,40.39311495843141,75.04772206736307
