Satelitenumber,Datetime,X,Y,Z,azimuth,zenith
C05,2024-09-18 13:00:00,21766976.81506731,35942663.10740682,3768275.2054021694,123.72634733953142,76.70642354939025
C05,2024-09-18 14:00:00,21711977.2859905,35879298.83421019,4637554.877638357,123.20967457106856,75.57871158904071
C08,2024-09-18 13:00:00,-4146636.0160048953,19953341.322828416,36897670.51846087,48.0315382667079,46.75630629616372
C08,2024-09-18 14:00:00,-15180898.830930281,20610194.167507496,33404645.920797806,40.58410429144025,63.027561992434414
C12,2024-09-18 14:00:00,14178450.706301214,-12049406.593740426,20845021.486134175,264.6345587855282,38.027934677801724
C13,2024-09-18 13:00:00,4773844.5015812125,23693065.15805695,34764346.10932669,68.4370134533736,41.048857790067125
C13,2024-09-18 14:00:00,-5382019.60422195,22367203.477536257,35446879.31237946,51.20401729455309,50.724199165044446
C19,2024-09-18 14:00:00,7328487.41644697,18958629.0193199,19122218.789826114,89.64516119909165,49.51700523571104
C20,2024-09-18 13:00:00,1532134.12490018,23201376.9353538,15407094.87334093,82.5943812483807,67.5555058623478
C20,2024-09-18 14:00:00,-10854617.581124242,11564840.17784787,22960057.479249183,34.63290120615441,66.83001011765273
C22,2024-09-18 14:00:00,22513170.440081775,15972030.496254148,4002627.080346267,147.38236063995538,70.10731218709557
C23,2024-09-18 14:00:00,-14447036.974285055,-9767124.666039655,21791772.637971714,342.25481330273334,77.2286691678778
C24,2024-09-18 13:00:00,8920240.45739716,-15536091.026572162,21391372.724023517,283.50472432621694,47.441122714694686
C24,2024-09-18 14:00:00,21015462.00590431,-17391355.585419238,5941893.974472585,236.0549964752472,72.98523145449218
C25,2024-09-18 13:00:00,-12537125.889158431,-14309383.342923608,20399360.954801835,330.76145069063983,78.76438318596045
C25,2024-09-18 14:00:00,4481548.7814298095,-19389428.573043145,19561548.556016117,290.759499615045,60.915331700990194
C26,2024-09-18 13:00:00,24826042.878405593,-7963591.695775516,9981952.755296003,214.97642294455966,55.926488753022305
C29,2024-09-18 13:00:00,5323918.525639106,19332304.117836166,19403594.33780967,83.94061190973962,51.89993068900423
C32,2024-09-18 13:00:00,-13357362.635345973,8040794.574611986,23147484.312699415,24.556148696863467,70.09245294954631
C34,2024-09-18 14:00:00,9648062.74099522,-21596261.740891498,14788731.70901684,272.6196940227437,66.71746402588649
C35,2024-09-18 13:00:00,17690986.813593138,-772522.9513225656,21549701.29766942,210.53419085991342,16.904615415808706
C35,2024-09-18 14:00:00,13516125.20458889,16351436.831631575,18132909.8782837,110.8662354595898,42.1200757987455
C38,2024-09-18 13:00:00,-14167243.180335863,18498335.32683491,35166544.792006284,37.46366435647157,59.67601614970832
C38,2024-09-18 14:00:00,-23406291.459470868,21848070.393345255,27387412.815250397,39.14114543179336,77.70975410331194
C44,2024-09-18 13:00:00,18503530.461890623,-17306382.42819682,11662392.539020864,246.1529672072154,62.21029299736564
C44,2024-09-18 14:00:00,16097710.841717876,-2200428.3509896738,22675248.79361076,232.74860576935703,14.780491641087199
C48,2024-09-18 13:00:00,7654631.850939173,25290602.97669944,8982039.283753647,103.2436821298854,74.72955640093011
C48,2024-09-18 14:00:00,-3021898.6334141134,16254840.991541868,22477607.010784235,56.14145265309584,56.391325719024316
