Satelitenumber,Datetime,X,Y,Z,azimuth,zenith
G01,2024-09-18 14:00:00,23718367.683443688,6107295.707656095,10298403.285811229,170.6358133274053,50.48957174909729
G05,2024-09-18 13:59:44,-11597734.219368916,10306486.570804948,21382880.64665806,32.0947521836322,70.35241351832688
G07,2024-09-18 13:59:44,-9975021.835076202,-12317804.118779415,21871342.39804775,332.0682422359257,71.64162552538491
G08,2024-09-18 13:59:44,10981388.46036808,-11863259.576584917,20886502.67363074,276.4424493665043,39.104034191973405
G08,2024-09-18 14:00:00,6955853.165500141,-23147831.669700842,10383264.382143201,273.7231500790698,79.23899573737349
G16,2024-09-18 14:00:00,16349075.436586041,-5422602.895491584,19997564.94613195,239.94841085218212,25.466658841884477
G18,2024-09-18 14:00:00,10051231.452063588,11415172.412338793,21815821.960300695,90.62905260050418,28.43162174561858
G23,2024-09-18 14:00:00,19897742.01636591,16423180.775182625,6808813.978526513,140.36222234456596,65.07020618589021
G26,2024-09-18 13:59:44,23857747.36818592,1991089.9714071986,11734535.431003729,184.8208398718953,46.28349412257568
G27,2024-09-18 14:00:00,12659733.141341,-14362458.274049025,17930721.230788704,266.28623683584357,47.99526067558987
G29,2024-09-18 14:00:00,3792101.6682563545,24673089.67662517,8846853.977653269,95.35583738009204,78.70134711765914
