satelite_id,Datetime,a0,a1,a2,IODE,C_rs,Delta n,M0,C_uc,e,C_us,sqrt(A),T_oe,C_ic,OMEGA0,C_is,i0,C_rc,omega,OMEGA DOT,IDOT,Codes on L2 channel,GPS Week,L2P,SV accurracy,SV health,TGD,IODC,t_tm,Fit Interval
J02,2024-09-25 00:00:00,-1.102685928345e-06,-1.136868377216e-13,0.0,61.0,193.0,2.7719011750960004e-09,-0.3190477058919,6.798654794693e-06,0.07485763961449,9.557232260704e-06,6493.693647385,259200.0,-6.388872861861999e-07,-1.902045024016,-2.887099981308e-07,0.705082347247,-105.62499999999999,-1.561952103403,-2.8436898796690004e-09,-8.718220291726e-10,2.0,2333.0,1.0,2.8,1.0,1.862645149231e-09,828.9999999999999,255618.0,0.0
J02,2024-09-25 01:00:00,-1.10361725092e-06,-1.1368683772199998e-13,0.0,65.0,175.53125,2.91369279557e-09,-0.0565700253972,6.21005892754e-06,0.0748538762564,8.506700396539998e-06,6493.68283081,262800.0,-1.91852450371e-07,-1.90205892759,-7.264316081999999e-08,0.705079494557,-76.15625,-1.56193609176,-2.9790526609300002e-09,-6.29669085388e-10,2.0,2333.0,1.0,2.8,1.0,1.8626451492300002e-09,833.0,259206.0,1.0
J02,2024-09-25 02:00:00,-1.10408291221e-06,-1.1368683772199998e-13,0.0,69.0,170.3125,2.84904724568e-09,0.20591779312,6.087124347689999e-06,0.07485564541999999,8.780509233469998e-06,6493.6877613100005,266400.0,-2.04890966415e-07,-1.90206974294,-6.51925802231e-08,0.7050772372740001,-91.15625,-1.56193237742,-2.9751239258500004e-09,-6.225259307040001e-10,2.0,2333.0,1.0,2.8,1.0,1.8626451492300002e-09,836.9999999999999,262806.0,1.0
J02,2024-09-25 03:00:00,-1.10501423478e-06,-1.1368683772199998e-13,0.0,73.0,134.59375,2.53081970451e-09,0.468379201577,5.05708158016e-06,0.0748606335837,9.59075987339e-06,6493.70283508,270000.0,-9.313225746149999e-07,-1.90208492218,-2.04890966415e-07,0.705076327339,-120.0625,-1.56190041704,-2.67832584874e-09,-3.10727228751e-10,2.0,2333.0,1.0,2.8,1.0,1.8626451492300002e-09,841.0,266406.0,1.0
J02,2024-09-25 04:00:00,-1.10547989607e-06,-1.1368683772199998e-13,0.0,77.0,91.25,1.84150527752e-09,0.7308191022120001,3.70666384697e-06,0.0748649670277,9.45664942265e-06,6493.71845436,273600.0,-1.21258199215e-06,-1.90210210708,-1.89803540707e-06,0.7050790937170001,-119.1875,-1.56184792608,-1.8318620186900003e-09,5.17878714584e-11,2.0,2333.0,1.0,2.8,1.0,1.8626451492300002e-09,844.9999999999999,270006.0,1.0
J02,2024-09-25 05:00:00,-1.10594555736e-06,-1.1368683772199998e-13,0.0,81.0,76.125,1.3450560269800002e-09,0.9932735501050001,3.1515955925e-06,0.0748665099964,8.841976523399998e-06,6493.72568321,277200.0,7.39470124245e-07,-1.90211217781,-2.7343630790699997e-06,0.7050822024180001,-105.125,-1.5618170117,-1.16754863309e-09,-3.2858511546e-11,2.0,2333.0,1.0,2.8,1.0,1.8626451492300002e-09,849.0,273606.0,1.0
J02,2024-09-25 06:00:00,-1.1064112186399998e-06,-1.1368683772199998e-13,0.0,85.0,79.6875,1.31041172677e-09,1.25576182944,3.13483178616e-06,0.07486635062380001,8.73766839504e-06,6493.72425461,280800.0,2.31340527534e-06,-1.90211661045,-1.25728547573e-06,0.705081953722,-110.1875,-1.56182422681,-1.0496865808e-09,-3.5322899912e-10,2.0,2333.0,1.0,2.8,1.0,1.8626451492300002e-09,852.9999999999999,277206.0,1.0
J02,2024-09-25 07:00:00,-1.1064112186399998e-06,-1.1368683772199998e-13,0.0,89.0,73.5625,1.7132856509400002e-09,1.51827209644,2.8312206268299997e-06,0.0748661543475,9.08598303795e-06,6493.71895409,284400.0,1.73598527908e-06,-1.90212100798,4.6752393245699997e-07,0.705077140722,-131.96875,-1.56185233678,-1.47327565356e-09,-6.2645466578e-10,2.0,2333.0,1.0,2.8,1.0,1.8626451492300002e-09,857.0,280806.0,1.0
J02,2024-09-25 08:00:00,-1.1064112186399998e-06,-1.1368683772199998e-13,0.0,93.0,54.375,2.27759487097e-09,1.78078237806,2.20723450184e-06,0.0748664307175,9.285286068919999e-06,6493.7144146,288000.0,4.37721610069e-07,-1.90212954411,5.327165126799999e-07,0.7050702869500001,-148.125,-1.56187617649,-2.11330231324e-09,-6.85742849656e-10,2.0,2333.0,1.0,2.8,1.0,1.8626451492300002e-09,861.0,284406.0,1.0
J02,2024-09-25 09:00:00,-1.1064112186399998e-06,-1.1368683772199998e-13,0.0,97.0,39.3125,2.74761444917e-09,2.04327912038,1.7229467630399998e-06,0.07486669637730001,9.15490090847e-06,6493.71287346,291600.0,2.47731804848e-07,-1.90214203011,-4.04193997383e-07,0.7050642304700001,-149.375,-1.56188294395,-2.67475427139e-09,-5.36450916763e-10,2.0,2333.0,1.0,2.8,1.0,1.8626451492300002e-09,865.0,288006.0,1.0
