satelite_id,Datetime,a0,a1,a2,IODE,C_rs,Delta n0,M0,C_uc,e,C_us,sqrt(A),T_oe,C_ic,OMEGA0,C_is,i0,C_rc,omega,OMEGA DOT,IDOT,Codes on L2 channel,GPS Week,L2 P,SV accurracy,SV health,TGD,IODC,t_tm,Fit Interval
G01,2024-09-25 00:00:00,0.00018928851932290003,-9.890754881781e-12,0.0,17.0,32.0,6.270261181546001e-09,0.8936606536733,1.896172761917e-06,0.01347708899993,8.227303624153e-06,5153.6177845,259200.0,-1.5832483768459998e-07,-2.187601321233,1.117587089539e-07,0.9536674817928001,219.46875,1.036104514529,-8.335704358402e-09,-4.2608917689589995e-10,1.0,2333.0,0.0,2.8,63.0,-1.9557774066930002e-08,17.0,252018.0,4.0
G01,2024-09-25 02:00:00,0.0001892172731459,-9.890754881781e-12,0.0,18.0,37.03125,6.171328489174e-09,1.943945990936,1.7993152141569999e-06,0.01347709796391,8.281320333481e-06,5153.61633873,266400.0,-2.197921276093e-07,-2.18766170464,-3.4086406230929997e-07,0.9536665031006001,216.62499999999997,1.036047781103,-7.967117576712001e-09,-2.235807416067e-10,1.0,2333.0,0.0,2.8,63.0,-1.9557774066930002e-08,18.0,259218.0,4.0
G01,2024-09-25 04:00:00,0.00018914649263020001,-9.890754881781e-12,0.0,71.0,41.40625,6.018822136672001e-09,2.994144030026,1.927837729454e-06,0.0134765044786,8.104369044304e-06,5153.6176319119995,273600.0,5.774199962616e-08,-2.187717801696,-2.533197402954e-07,0.9536656999586001,219.875,1.036076482093,-7.764966299157e-09,-2.346526313668e-10,1.0,2333.0,0.0,2.8,63.0,-1.9557774066930002e-08,71.0,266418.0,4.0
G01,2024-09-25 05:59:44,0.000189074780792,-9.890754881781e-12,0.0,44.0,39.0,6.027036764559e-09,-2.241191438094,1.7415732145309999e-06,0.01347781484947,7.340684533119e-06,5153.614971161,280784.0,2.104789018631e-07,-2.187774883297,-4.4703483581540004e-08,0.953664621788,230.0625,1.036120259916,-7.814254066476e-09,-3.857303529318e-11,1.0,2333.0,0.0,2.0,63.0,-1.9557774066930002e-08,44.0,278706.0,4.0
G01,2024-09-25 06:00:00,0.00018907524645330002,-9.890754881781e-12,0.0,92.0,39.0,6.026679606825e-09,-2.238857786785,1.7415732145309999e-06,0.01347781694494,7.340684533119e-06,5153.614974976,280800.0,2.104789018631e-07,-2.187774997404,-4.4703483581540004e-08,0.9536646393430002,230.0625,1.03612038719,-7.814254066476e-09,-3.857303529318e-11,1.0,2333.0,0.0,4.0,63.0,-1.9557774066930002e-08,92.0,273618.0,4.0
G01,2024-09-25 07:59:44,0.0001890040002763,-9.890754881781e-12,0.0,45.0,30.4375,6.007035931444001e-09,-1.190869476677,1.829117536545e-06,0.013477785396390001,7.2363764047619996e-06,5153.617353439,287984.0,2.253800630569e-07,-2.187830825284,2.924352884293e-07,0.9536630228185001,234.1875,1.036024680164,-8.0724791083e-09,-1.642925577302e-10,1.0,2333.0,0.0,2.0,63.0,-1.9557774066930002e-08,45.0,280818.0,4.0
G01,2024-09-25 10:00:00,0.0001889327540994,-9.890754881781e-12,0.0,59.0,26.8125,6.071324323599e-09,-0.13831518565700002,1.4826655387879998e-06,0.0134773979662,7.50832259655e-06,5153.6166744229995,295200.0,-6.332993507385e-08,-2.187890443585,2.0861625671389998e-07,0.9536609557153,234.06250000000003,1.036030768829,-8.300345742717e-09,-1.47506144223e-10,1.0,2333.0,0.0,2.0,63.0,-1.9557774066930002e-08,59.0,288018.0,4.0
G01,2024-09-25 12:00:00,0.00018886150792240001,-9.890754881781e-12,0.0,60.0,26.0,6.0256081336220005e-09,0.9119007522352001,1.376494765282e-06,0.013477539061570001,7.547438144684e-06,5153.617031097,302400.0,-1.955777406693e-07,-2.187948970548,-7.450580596924e-09,0.9536592250832,232.46875,1.036040943424,-8.254629552740001e-09,-3.47871633107e-10,1.0,2333.0,0.0,2.0,63.0,-1.9557774066930002e-08,60.0,295218.0,4.0
G01,2024-09-25 14:00:00,0.00018879026174550002,-9.890754881781e-12,0.0,64.0,30.125,5.95560521772e-09,1.962173512791,1.382082700729e-06,0.013477522297760001,7.5642019510269995e-06,5153.615859985,309600.0,-1.359730958939e-07,-2.188008612255,-3.22237610817e-07,0.9536579830657002,230.53125,1.035995222845,-8.007476400676e-09,-2.4215294378490004e-10,1.0,2333.0,0.0,2.0,63.0,-1.9557774066930002e-08,64.0,302418.0,4.0
G01,2024-09-25 16:00:00,0.0001887190155685,-9.890754881781e-12,0.0,70.0,32.125,5.848100739727e-09,3.012386745748,1.626089215279e-06,0.01347725803498,7.344409823418e-06,5153.616430283,316800.0,9.685754776001e-08,-2.188064637629,-1.303851604462e-07,0.9536571462766,231.96875,1.036007650334,-7.75246577846e-09,-2.91440711104e-10,1.0,2333.0,0.0,2.0,63.0,-1.9557774066930002e-08,70.0,309618.0,4.0
